"","s01","s02","s03","s04","s05","s06","s07","s08","s09","s10","s11","s12","s13","s14","s15","s16","s17"
"s01",0,22,22,21,0,0,0,0,0,0,0,0,0,0,20,0,0
"s02",23,0,21,0,0,0,0,0,1,5,0,0,0,0,0,0,0
"s03",21,0,0,22,1,0,0,4,0,2,1,1,0,0,0,0,0
"s04",0,0,23,0,0,1,0,0,0,0,22,3,0,0,0,0,2
"s05",1,21,0,0,0,0,0,0,2,0,0,0,0,0,21,0,0
"s06",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,21,21
"s07",0,0,1,0,0,0,0,22,0,21,0,0,0,4,0,0,0
"s08",0,0,2,0,0,0,21,0,23,0,0,0,0,0,0,0,0
"s09",0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
"s10",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s12",0,0,0,0,0,2,0,0,0,0,0,0,22,22,0,0,0
"s13",0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1
"s14",0,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0
"s15",22,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
"s16",0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,21
"s17",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
